Simulation results for substrates contain 60-nodes
state; 1-success, 2-rejected by pre-matching, 3-rejected by node mapping, 4-rejected by edge mapping

req	state	 maptime
406   	4   	1.531733
407   	4   	1.587653
408   	4   	1.307800
409   	4   	0.628186
410   	4   	1.604591
411   	3   	0.001059
412   	3   	0.001111
413   	3   	0.001078
414   	3   	0.001157
415   	3   	0.001112
416   	3   	0.001268
417   	3   	0.001281
418   	3   	0.001688
419   	3   	0.001507
420   	3   	0.001744
421   	3   	0.001812
422   	3   	0.002490
423   	3   	0.001740
424   	3   	0.002008
425   	1   	0.006663
426   	4   	0.115529
427   	4   	0.454349
428   	4   	0.536322
429   	4   	0.805499
430   	4   	1.468761
431   	4   	1.046259
432   	4   	1.392318
433   	4   	0.699584
434   	4   	1.452258
435   	4   	0.550682
436   	3   	0.001204
437   	3   	0.001077
438   	3   	0.001129
439   	3   	0.001219
440   	3   	0.001372
441   	3   	0.001367
442   	3   	0.001292
443   	3   	0.001430
444   	3   	0.001542
445   	3   	0.001671
446   	3   	0.001826
447   	3   	0.002115
448   	3   	0.001906
449   	3   	0.002241
450   	1   	0.009400
451   	1   	0.194538
452   	1   	0.362459
453   	4   	0.941993
454   	4   	0.857344
455   	4   	1.484192
456   	4   	0.821764
457   	4   	1.292943
458   	4   	0.810773
459   	4   	1.222849
460   	3   	0.063022
461   	3   	0.096610
462   	3   	0.001091
463   	3   	0.001052
464   	3   	0.001100
465   	3   	0.001206
466   	3   	0.001214
467   	3   	0.001710
468   	3   	0.001362
469   	3   	0.001827
470   	3   	0.002147
471   	3   	0.001679
472   	3   	0.001879
473   	3   	0.002015
474   	3   	0.002338
475   	1   	0.007333
476   	1   	0.100465
477   	4   	0.347021
478   	4   	0.545549
479   	4   	0.638869
480   	4   	1.217989
481   	4   	1.073756
482   	4   	1.072365
483   	4   	0.903149
484   	3   	0.826186
485   	4   	0.922848
486   	3   	0.001028
487   	3   	0.001098
488   	3   	0.000991
489   	3   	0.001183
490   	3   	0.001202
491   	3   	0.001433
492   	3   	0.001599
493   	3   	0.001615
494   	3   	0.001563
495   	3   	0.001940
496   	3   	0.002018
497   	3   	0.001988
498   	3   	0.002094
499   	3   	0.002071
500   	1   	0.009079
501   	1   	0.125090
502   	1   	0.368842
503   	4   	0.536179
504   	1   	0.574947
505   	4   	0.936600
506   	4   	0.935919
507   	4   	1.079155
508   	3   	0.735327
509   	3   	0.957550
510   	3   	0.471768
511   	3   	0.001139
512   	3   	0.001136
513   	3   	0.001280
514   	3   	0.001348
515   	3   	0.001325
516   	3   	0.001247
517   	3   	0.001368
518   	3   	0.001369
519   	3   	0.001598
520   	3   	0.001779
521   	3   	0.001708
522   	3   	0.001686
523   	3   	0.001822
524   	3   	0.001978
525   	4   	0.050676
526   	4   	0.203794
527   	1   	0.185082
528   	4   	0.384588
529   	4   	0.430522
530   	4   	0.927191
531   	4   	1.045889
532   	4   	1.085692
533   	4   	0.781250
534   	4   	1.067088
535   	3   	0.538589
536   	3   	0.350747
537   	3   	0.001186
538   	3   	0.001416
539   	3   	0.001121
540   	3   	0.001247
541   	3   	0.001711
542   	3   	0.001485
543   	3   	0.001725
544   	3   	0.001507
545   	3   	0.001845
546   	3   	0.001920
547   	3   	0.001909
548   	3   	0.001871
549   	3   	0.002201
550   	1   	0.010539
551   	4   	0.198882
552   	4   	0.637822
553   	1   	0.227203
554   	4   	0.576401
555   	4   	0.672815
556   	4   	0.682626
557   	4   	0.766813
558   	4   	1.057233
559   	4   	1.080562
560   	3   	0.076313
561   	3   	0.097871
562   	3   	0.001118
563   	3   	0.001050
564   	3   	0.001181
565   	3   	0.001146
566   	3   	0.001344
567   	3   	0.001333
568   	3   	0.001664
569   	3   	0.001915
570   	3   	0.001712
571   	3   	0.001697
572   	3   	0.001898
573   	3   	0.002017
574   	3   	0.003033
575   	1   	0.008452
576   	1   	0.022587
577   	4   	0.204956
578   	4   	0.518006
579   	4   	0.606600
580   	4   	0.689314
581   	4   	1.126624
582   	4   	0.577721
583   	4   	0.757432
584   	3   	0.408182
585   	3   	0.269970
586   	3   	0.180033
587   	3   	0.001013
588   	3   	0.001127
589   	3   	0.001135
590   	3   	0.001161
591   	3   	0.001303
592   	3   	0.001461
593   	3   	0.001998
594   	3   	0.001779
595   	3   	0.001796
596   	3   	0.002004
597   	3   	0.001831
598   	3   	0.002480
599   	3   	0.001889
600   	1   	0.008788
601   	4   	0.102410
602   	4   	0.340590
603   	4   	0.700987
604   	4   	0.509654
605   	4   	0.730627
606   	4   	0.962317
607   	4   	0.723516
608   	3   	0.331029
609   	4   	0.541759
610   	3   	0.001072
611   	3   	0.001209
612   	3   	0.367637
613   	3   	0.001273
614   	3   	0.001217
615   	3   	0.001499
616   	3   	0.001823
617   	3   	0.001318
618   	3   	0.001700
619   	3   	0.001482
620   	3   	0.001526
621   	3   	0.001687
622   	3   	0.001880
623   	3   	0.002147
624   	3   	0.002334
625   	4   	0.019395
626   	1   	0.022405
627   	1   	0.220581
628   	4   	0.603878
629   	4   	0.682666
630   	4   	0.597993
631   	4   	0.680902
632   	4   	0.516526
633   	4   	0.756990
634   	3   	0.377686
635   	3   	0.123581
636   	3   	0.076796
637   	3   	0.001090
638   	3   	0.000955
639   	3   	0.001461
640   	3   	0.001175
641   	3   	0.001454
642   	3   	0.001494
643   	3   	0.001333
644   	3   	0.001467
645   	3   	0.001718
646   	3   	0.001731
647   	3   	0.002699
648   	3   	0.001781
649   	3   	0.001822
650   	1   	0.008154
651   	1   	0.048857
652   	4   	0.271197
653   	4   	0.643058
654   	4   	0.664130
655   	4   	0.913718
656   	4   	0.586593
657   	4   	0.823784
658   	4   	0.439467
659   	3   	0.709296
660   	3   	0.454177
661   	3   	0.001018
662   	3   	0.470960
663   	3   	0.001283
664   	3   	0.001232
665   	3   	0.001358
666   	3   	0.001419
667   	3   	0.001369
668   	3   	0.001584
669   	3   	0.001712
670   	3   	0.001621
671   	3   	0.001933
672   	3   	0.001636
673   	3   	0.002041
674   	3   	0.002198
675   	1   	0.009745
676   	1   	0.019153
677   	4   	0.253230
678   	4   	0.584416
679   	4   	0.703161
680   	4   	0.620929
681   	4   	0.559361
682   	4   	0.487576
683   	4   	1.057712
684   	4   	0.509514
685   	3   	0.467651
686   	3   	0.291670
687   	3   	0.001073
688   	3   	0.001121
689   	3   	0.001112
690   	3   	0.001331
691   	3   	0.001520
692   	3   	0.001315
693   	3   	0.001564
694   	3   	0.001387
695   	3   	0.001925
696   	3   	0.001792
697   	3   	0.001847
698   	3   	0.001929
699   	3   	0.003049
700   	1   	0.017762
701   	4   	0.111934
702   	4   	0.312269
703   	4   	0.357241
704   	4   	0.556469
705   	4   	0.508806
706   	4   	0.922508
707   	4   	0.719264
708   	4   	0.501635
709   	4   	0.606792
710   	3   	0.366058
711   	3   	0.001170
712   	3   	0.000965
713   	3   	0.000989
714   	3   	0.001297
715   	3   	0.001490
716   	3   	0.001167
717   	3   	0.001224
718   	3   	0.001558
719   	3   	0.001641
720   	3   	0.001683
721   	3   	0.001940
722   	3   	0.001970
723   	3   	0.001710
724   	3   	0.001938
725   	1   	0.018182
726   	1   	0.019629
727   	4   	0.326471
728   	4   	0.597637
729   	4   	0.489649
730   	4   	0.434881
731   	4   	0.729701
732   	4   	0.558079
733   	4   	0.913698
734   	3   	0.677245
735   	3   	0.633565
736   	3   	0.000989
737   	3   	0.001029
738   	3   	0.001096
739   	3   	0.001105
740   	3   	0.001148
741   	3   	0.001332
742   	3   	0.001756
743   	3   	0.001644
744   	3   	0.001452
745   	3   	0.001550
746   	3   	0.001639
747   	3   	0.001695
748   	3   	0.002111
749   	3   	0.002000
750   	1   	0.006397
751   	4   	0.098272
752   	4   	0.292869
753   	4   	0.397156
754   	4   	0.444261
755   	4   	0.807328
756   	4   	0.756438
757   	4   	0.998695
758   	4   	1.279545
759   	3   	0.871733
760   	3   	0.001106
761   	3   	0.429989
762   	3   	0.001033
763   	3   	0.001262
764   	3   	0.001041
765   	3   	0.001653
766   	3   	0.001160
767   	3   	0.001446
768   	3   	0.001623
769   	3   	0.001644
770   	3   	0.001842
771   	3   	0.001694
772   	3   	0.002110
773   	3   	0.001803
774   	3   	0.002311
775   	1   	0.006793
776   	4   	0.065284
777   	4   	0.404123
778   	4   	0.528868
779   	4   	0.509442
780   	4   	0.586351
781   	4   	0.333872
782   	4   	0.746130
783   	4   	0.983393
784   	3   	0.325551
785   	3   	0.397911
786   	3   	0.150290
787   	3   	0.001052
788   	3   	0.001063
789   	3   	0.001410
790   	3   	0.001227
791   	3   	0.001299
792   	3   	0.001361
793   	3   	0.001304
794   	3   	0.001920
795   	3   	0.001462
796   	3   	0.001896
797   	3   	0.002239
798   	3   	0.001821
799   	3   	0.002165
800   	1   	0.026010
801   	1   	0.054312
802   	4   	0.239456
803   	4   	0.539524
804   	4   	0.880210
805   	4   	0.755433
806   	4   	0.821422
807   	4   	0.636862
808   	4   	0.679047
809   	4   	1.142306
810   	3   	0.243070
811   	3   	0.367176
812   	3   	0.001001
813   	3   	0.001404
814   	3   	0.001135
815   	3   	0.001272
816   	3   	0.001581
817   	3   	0.001457
818   	3   	0.001658
819   	3   	0.001911
820   	3   	0.001458
821   	3   	0.002269
822   	3   	0.001896
823   	3   	0.002279
824   	3   	0.002361
825   	1   	0.007091
826   	4   	0.185229
827   	4   	0.286655
828   	4   	0.528611
829   	4   	0.503368
830   	4   	1.339543
831   	4   	0.528171
832   	3   	0.714009
833   	4   	0.914452
834   	3   	0.432743
835   	3   	0.364806
836   	3   	0.117756
837   	3   	0.001058
838   	3   	0.001253
839   	3   	0.001191
840   	3   	0.001261
841   	3   	0.001392
842   	3   	0.001265
843   	3   	0.001427
844   	3   	0.001382
845   	3   	0.001835
846   	3   	0.001929
847   	3   	0.002067
848   	3   	0.001775
849   	3   	0.002075
850   	4   	0.017515
851   	1   	0.051717
852   	4   	0.257004
853   	4   	0.304064
854   	4   	0.673623
855   	4   	0.424240
856   	4   	0.719014
857   	4   	0.331146
858   	3   	0.499454
859   	3   	0.163172
860   	3   	0.183196
861   	3   	0.001019
862   	3   	0.000972
863   	3   	0.001064
864   	3   	0.001340
865   	3   	0.001385
866   	3   	0.001303
867   	3   	0.001490
868   	3   	0.001418
869   	3   	0.001674
870   	3   	0.002346
871   	3   	0.001982
872   	3   	0.002031
873   	3   	0.001928
874   	3   	0.002444
875   	1   	0.008109
876   	4   	0.126429
877   	4   	0.270777
878   	4   	0.450433
879   	4   	0.458700
880   	4   	0.714351
881   	4   	0.481272
882   	4   	0.479338
883   	4   	0.872621
884   	4   	0.531064
885   	3   	0.057409
886   	3   	0.000992
887   	3   	0.001061
888   	3   	0.000957
889   	3   	0.001259
890   	3   	0.001165
891   	3   	0.001196
892   	3   	0.001338
893   	3   	0.001291
894   	3   	0.001516
895   	3   	0.001546
896   	3   	0.001611
897   	3   	0.001625
898   	3   	0.002050
899   	3   	0.002683
900   	1   	0.007190
901   	1   	0.025628
902   	4   	0.273474
903   	4   	0.532268
904   	4   	0.401319
905   	4   	0.793878
906   	4   	0.654620
907   	4   	0.853077
908   	4   	0.493461
909   	3   	0.468964
910   	3   	0.499950
911   	3   	0.424456
912   	3   	0.000993
913   	3   	0.001126
914   	3   	0.001156
915   	3   	0.001313
916   	3   	0.001450
917   	3   	0.001280
918   	3   	0.001689
919   	3   	0.001762
920   	3   	0.001785
921   	3   	0.001860
922   	3   	0.002649
923   	3   	0.001877
924   	3   	0.001848
925   	1   	0.009577
926   	1   	0.051531
927   	4   	0.186286
928   	4   	0.516419
929   	4   	0.626674
930   	4   	0.365946
931   	4   	0.864376
932   	4   	0.469348
933   	4   	0.437299
934   	3   	0.228278
935   	3   	0.056849
936   	3   	0.185716
937   	3   	0.544960
938   	3   	0.001245
939   	3   	0.001079
940   	3   	0.001341
941   	3   	0.001296
942   	3   	0.001540
943   	3   	0.001302
944   	3   	0.001626
945   	3   	0.001483
946   	3   	0.001777
